issn,year,anti_labor,neutral,pro_labor,total_labor,anti_labor_intensity,anti_labor_rr,total_labor_rr
2151-3910,1883,1,2,0,3,0.3333333333333333,0,1
2151-3910,1884,1,5,4,10,0.1,0,2
2151-3910,1885,0,0,2,2,0.0,0,0
2151-3937,1882,4,4,0,8,0.5,0,3
2151-3937,1883,2,5,5,12,0.16666666666666666,1,7
2151-3937,1884,4,1,6,11,0.36363636363636365,2,3
2151-3937,1885,9,10,1,20,0.45,3,8
2151-3937,1886,17,33,6,56,0.30357142857142855,4,14
2151-3937,1887,5,12,0,17,0.29411764705882354,2,6
2151-3937,1888,3,2,11,16,0.1875,2,2
2151-3937,1889,2,1,4,7,0.2857142857142857,0,1
2151-3937,1890,8,3,7,18,0.4444444444444444,4,5
2151-3961,1887,1,0,1,2,0.5,0,0
2151-3961,1889,1,0,2,3,0.3333333333333333,1,1
2151-3961,1890,0,0,1,1,0.0,0,0
2151-3988,1881,0,0,1,1,0.0,0,0
2151-3988,1882,2,1,2,5,0.4,0,0
2151-3988,1883,1,0,0,1,1.0,0,0
2151-3988,1884,0,1,1,2,0.0,0,0
2151-3988,1885,17,3,3,23,0.7391304347826086,2,2
2151-3988,1886,1,0,1,2,0.5,0,0
2151-3988,1887,1,6,1,8,0.125,0,1
2151-3988,1888,1,2,2,5,0.2,0,0
2151-4003,1885,0,4,0,4,0.0,0,3
2151-4003,1886,0,3,1,4,0.0,0,1
2151-4003,1887,2,2,1,5,0.4,0,1
2151-4003,1888,0,2,1,3,0.0,0,1
2151-4003,1890,0,1,0,1,0.0,0,1
2151-4011,1890,0,0,2,2,0.0,0,0
2151-4062,1886,1,1,1,3,0.3333333333333333,0,0
2151-4062,1887,1,3,0,4,0.25,0,0
2151-4437,1874,6,4,14,24,0.25,1,2
2151-4437,1875,8,3,10,21,0.38095238095238093,0,4
2151-4437,1876,0,1,5,6,0.0,0,0
2151-4437,1877,7,1,1,9,0.7777777777777778,0,0
2151-4437,1878,0,1,2,3,0.0,0,0
2151-4437,1879,3,0,1,4,0.75,0,0
2151-4437,1880,3,3,8,14,0.21428571428571427,1,2
2151-4437,1881,3,2,5,10,0.3,0,1
2151-4437,1882,0,0,4,4,0.0,0,0
2151-4437,1883,19,26,23,68,0.27941176470588236,1,10
2151-4437,1884,3,8,15,26,0.11538461538461539,1,5
2151-4437,1885,1,8,8,17,0.058823529411764705,0,1
2151-4437,1886,11,9,30,50,0.22,0,4
2151-4437,1887,5,6,22,33,0.15151515151515152,0,1
2151-4437,1888,0,2,12,14,0.0,0,2
2151-4445,1890,2,1,1,4,0.5,1,2
2151-5298,1888,0,2,0,2,0.0,0,2
2151-5298,1889,0,7,0,7,0.0,0,7
2151-5298,1890,2,9,1,12,0.16666666666666666,1,2
2151-5301,1880,1,1,0,2,0.5,0,0
2151-5301,1881,0,0,1,1,0.0,0,0
2151-5301,1883,0,0,1,1,0.0,0,0
2151-5301,1884,0,0,1,1,0.0,0,0
2151-5301,1885,0,0,4,4,0.0,0,0
2151-5301,1886,2,0,12,14,0.14285714285714285,0,1
2151-5301,1887,0,0,2,2,0.0,0,0
2151-5301,1888,1,0,5,6,0.16666666666666666,0,1
2151-5301,1890,1,0,6,7,0.14285714285714285,1,2
2157-1260,1869,3,7,6,16,0.1875,0,2
2157-1260,1870,6,6,11,23,0.2608695652173913,2,2
2157-1260,1871,2,10,6,18,0.1111111111111111,0,3
2157-1260,1872,8,13,4,25,0.32,0,2
2157-1260,1873,13,10,6,29,0.4482758620689655,3,8
2157-1260,1874,4,1,3,8,0.5,0,0
2157-1260,1875,4,2,8,14,0.2857142857142857,0,1
2157-1260,1876,0,12,2,14,0.0,0,5
2157-1260,1877,39,16,22,77,0.5064935064935064,34,46
2157-1260,1878,8,9,13,30,0.26666666666666666,0,1
2157-1260,1879,5,12,0,17,0.29411764705882354,1,2
2157-1260,1880,6,15,3,24,0.25,2,5
2157-1260,1881,3,6,5,14,0.21428571428571427,0,2
2157-1260,1882,6,15,7,28,0.21428571428571427,0,7
2157-1260,1883,23,39,9,71,0.323943661971831,9,27
2157-1260,1884,4,12,12,28,0.14285714285714285,0,2
2157-1295,1889,126,176,98,400,0.315,19,51
2157-1295,1890,176,218,121,515,0.341747572815534,29,68
2157-1341,1883,1,0,0,1,1.0,0,0
2157-1341,1884,0,1,0,1,0.0,0,0
2157-1341,1885,1,0,0,1,1.0,0,0
2157-1341,1886,8,4,5,17,0.47058823529411764,3,4
2157-1341,1887,0,0,1,1,0.0,0,0
2157-1341,1888,3,0,1,4,0.75,0,0
2157-1341,1889,0,1,0,1,0.0,0,0
2157-1341,1890,3,1,1,5,0.6,1,1
2157-135X,1890,8,5,2,15,0.5333333333333333,2,3
2157-1392,1869,1,0,2,3,0.3333333333333333,0,0
2157-1392,1870,3,1,3,7,0.42857142857142855,0,0
2157-1392,1871,0,2,0,2,0.0,0,1
2157-1392,1872,3,1,0,4,0.75,0,0
2157-1392,1873,0,1,1,2,0.0,0,1
2157-1392,1874,1,0,0,1,1.0,0,0
2157-1392,1876,0,0,1,1,0.0,0,0
2157-1392,1877,0,1,1,2,0.0,0,1
2157-1392,1878,1,0,3,4,0.25,0,0
2157-1392,1879,1,1,0,2,0.5,0,0
2157-1392,1880,3,1,0,4,0.75,0,0
2157-1392,1883,0,2,0,2,0.0,0,0
2157-1392,1884,0,1,1,2,0.0,0,0
2157-1392,1885,0,2,0,2,0.0,0,0
2157-1392,1886,2,4,0,6,0.3333333333333333,0,1
2157-1392,1887,3,3,1,7,0.42857142857142855,0,1
2157-1392,1888,2,3,1,6,0.3333333333333333,1,3
2157-1392,1889,4,2,2,8,0.5,0,0
2157-1392,1890,4,8,3,15,0.26666666666666666,0,2
2157-2127,1882,1,0,0,1,1.0,0,0
2157-2127,1883,2,2,2,6,0.3333333333333333,0,0
2157-2127,1884,0,3,5,8,0.0,0,0
2157-2127,1885,7,1,7,15,0.4666666666666667,1,1
2157-2127,1886,3,8,4,15,0.2,0,0
2157-2127,1887,3,5,3,11,0.2727272727272727,0,1
2157-2127,1888,2,1,3,6,0.3333333333333333,0,0
2157-2127,1889,2,1,7,10,0.2,0,0
2157-2127,1890,6,6,12,24,0.25,0,2
2157-2143,1890,3,1,1,5,0.6,1,2
2157-2178,1884,0,1,1,2,0.0,0,0
2157-2178,1886,1,2,2,5,0.2,1,1
2157-2178,1888,1,0,2,3,0.3333333333333333,0,0
2157-2178,1889,1,1,0,2,0.5,0,1
2157-2216,1883,1,2,8,11,0.09090909090909091,0,1
2157-2216,1884,0,1,2,3,0.0,0,1
2157-2216,1885,1,0,0,1,1.0,1,1
2157-2224,1888,0,1,1,2,0.0,0,1
2157-2259,1889,1,2,0,3,0.3333333333333333,1,2
2157-2291,1890,0,0,1,1,0.0,0,0
2157-3093,1890,4,12,10,26,0.15384615384615385,1,4
2157-3247,1890,4,2,4,10,0.4,0,0
2157-3298,1883,1,0,2,3,0.3333333333333333,0,0
2157-3298,1884,1,1,0,2,0.5,0,0
2157-3344,1884,1,0,9,10,0.1,0,0
2157-3344,1885,4,6,7,17,0.23529411764705882,0,2
2157-3344,1886,5,1,3,9,0.5555555555555556,1,1
2157-3344,1887,0,1,4,5,0.0,0,0
2157-3344,1888,2,1,10,13,0.15384615384615385,1,1
2157-3344,1889,0,1,2,3,0.0,0,1
2157-3344,1890,3,3,2,8,0.375,1,1
2157-3379,1882,1,0,0,1,1.0,0,0
2157-3379,1886,2,1,2,5,0.4,1,3
2157-3417,1885,1,2,0,3,0.3333333333333333,0,2
2157-3417,1886,0,5,2,7,0.0,0,0
2157-3425,1885,28,6,19,53,0.5283018867924528,10,16
2157-3425,1886,34,6,32,72,0.4722222222222222,2,8
2157-3425,1887,9,1,7,17,0.5294117647058824,0,0
2157-4855,1869,1,0,3,4,0.25,0,0
2157-4855,1870,0,0,1,1,0.0,0,0
2157-4855,1871,1,1,0,2,0.5,0,1
2157-4855,1872,2,4,2,8,0.25,0,1
2157-4855,1873,0,2,0,2,0.0,0,2
2157-4855,1874,3,1,4,8,0.375,1,2
2157-4855,1875,2,3,0,5,0.4,1,3
2157-4855,1876,0,0,2,2,0.0,0,1
2157-4855,1877,11,4,4,19,0.5789473684210527,8,10
2157-4855,1878,0,3,1,4,0.0,0,1
2157-4855,1879,0,9,2,11,0.0,0,5
2157-4855,1880,2,1,3,6,0.3333333333333333,0,2
2157-4855,1882,0,0,1,1,0.0,0,0
2157-4855,1883,1,0,0,1,1.0,0,0
2157-4855,1884,0,1,1,2,0.0,0,0
2157-4855,1885,1,0,1,2,0.5,0,0
2157-4855,1886,7,2,11,20,0.35,0,2
2157-4855,1887,2,0,2,4,0.5,1,1
2157-4855,1888,0,0,6,6,0.0,0,0
2157-4855,1889,1,0,0,1,1.0,0,0
2157-4855,1890,11,13,3,27,0.4074074074074074,3,6
