issn,year,anti_labor,neutral,pro_labor,total_labor,anti_labor_intensity,railroad_interest,has_editor,has_publisher,state,year_str,political_affiliation_raw,republican,person_republican,pop_1870,pop_1880,pop_1890,county_pop,log_county_pop
2331-7728,1878,1,0,2,3,0.3333333333333333,1,1,1,VERMONT,1878,Republican,1.0,1.0,22235.0,23607.0,23436.0,23332.6,10.05760680329807
2331-7728,1879,6,0,0,6,1.0,1,1,1,VERMONT,1879,Republican,1.0,1.0,22235.0,23607.0,23436.0,23469.8,10.06346976729193
2331-7728,1880,3,1,0,4,0.75,1,1,1,VERMONT,1880,Republican,1.0,1.0,22235.0,23607.0,23436.0,23607.0,10.069298557203092
2331-7728,1882,8,3,2,13,0.6153846153846154,1,1,1,VERMONT,1882,Republican,1.0,1.0,22235.0,23607.0,23436.0,23572.8,10.06784878395309
2331-7728,1883,6,1,1,8,0.75,1,1,1,VERMONT,1883,Independent,,1.0,22235.0,23607.0,23436.0,23555.7,10.0671231083746
2331-7728,1884,3,0,6,9,0.3333333333333333,1,1,1,VERMONT,1884,Republican,1.0,1.0,22235.0,23607.0,23436.0,23538.6,10.066396905808622
2331-7728,1885,7,0,2,9,0.7777777777777778,1,1,1,VERMONT,1885,Republican,1.0,1.0,22235.0,23607.0,23436.0,23521.5,10.065670175489196
2331-7728,1890,9,0,2,11,0.8181818181818182,1,1,1,VERMONT,1890,Republican,1.0,1.0,22235.0,23607.0,23436.0,23436.0,10.062028580664679
2331-9968,1869,11,38,31,80,0.1375,0,1,1,DISTRICT OF COLUMBIA,1869,Independent,,1.0,131700.0,177624.0,230392.0,131700.0,11.788281887731372
2331-9968,1871,24,28,18,70,0.34285714285714286,0,1,1,DISTRICT OF COLUMBIA,1871,Independent,,1.0,131700.0,177624.0,230392.0,136292.4,11.822557856775648
2331-9968,1872,33,66,30,129,0.2558139534883721,0,1,1,DISTRICT OF COLUMBIA,1872,Independent,,1.0,131700.0,177624.0,230392.0,140884.8,11.855697814139921
